Event	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	Footsteps			
	2058049674	Wood	Footsteps			
	2195636714	Dirt	Footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21758511	Stone_04	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\57\{5758194A-6E1B-8D70-5D18-CD92FC2493DB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Stone\Stone_04		12914
	28439434	Wood_01	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\71\{71E01662-3728-E02F-D958-616A5F885D70}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Wood\Wood_01		14252
	131813213	Wood_03	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\D1\{D1A97CBF-E3CE-87AC-06E6-6BEE96E545C4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Wood\Wood_03		17094
	500468877	Wood_02	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\75\{75B70846-A47F-4822-1C92-EC8BDBA1005B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Wood\Wood_02		16908
	527292975	Dirt_01	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\FA\{FA69F667-FF7B-6751-1029-C4024A365AB5}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\Dirt_01		16828
	719114209	Stone_01	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\43\{435DA289-5022-7455-CCA7-955F79B3A4B3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Stone\Stone_01		12276
	733004065	Dirt_03	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\28\{289A26A2-4ED4-3DDD-451E-312FF64DBA43}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\Dirt_03		25684
	767114978	Dirt_04	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\99\{9944480D-6295-DCC8-9F7E-31FADF009675}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\Dirt_04		11902
	841793571	Dirt_02	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\48\{485B1715-B30B-7D5B-34F8-777856565855}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\Dirt_02		12016
	990657601	Stone_03	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\80\{8015992E-F409-D491-892B-33A5EFAB8630}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Stone\Stone_03		7256
	1016522810	Stone_02	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\48\{486364DF-BCC1-BE9E-1D0D-90F17C05EC97}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Stone\Stone_02		15278
	1053814472	Wood_04	E:\Hawktober-Horrors-Jam-2025\Hawktober-Horrors-Jam-2025_WwiseProject\.cache\33\{33731C74-F55F-ECFA-5563-EC6FF75231EA}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Wood\Wood_04		16320

